post_id,post_content,post_time,tag,title,user_id,channel_id
1,"First post content","2024-11-15 09:00:00","general","First Post",201,1
2,"Learning PostgreSQL","2024-11-15 09:30:00","education","PostgreSQL Tips",202,2
3,"Python Scripting","2024-11-15 10:00:00","coding","Python and Databases",203,3
4,"Holiday Plans","2024-11-15 10:30:00","general","Upcoming Holidays",204,4
5,"New Project Ideas","2024-11-15 11:00:00","ideas","Brainstorming Projects",205,5
6,"Community Update","2024-11-16 12:00:00","announcements","Weekly Update",206,6
7,"Debugging Techniques","2024-11-16 12:30:00","coding","Fixing Bugs",207,7
8,"Favorite Movies","2024-11-16 13:00:00","entertainment","Movie Night",208,8
9,"Workout Routines","2024-11-16 13:30:00","health","Fitness Goals",209,9
10,"New Book Releases","2024-11-16 14:00:00","books","Reading List",210,10
11,"Database Optimization","2024-11-17 15:00:00","education","Query Performance",201,11
12,"Travel Destinations","2024-11-17 15:30:00","travel","Dream Trips",202,12
13,"Favorite Recipes","2024-11-17 16:00:00","food","Cooking Ideas",203,13
14,"Sports Highlights","2024-11-17 16:30:00","sports","Game Recap",204,14
15,"Tech News","2024-11-17 17:00:00","technology","Latest Updates",205,15
16,"Channel Updates","2024-11-18 09:00:00","announcements","Channel News",206,1
17,"Coding Practices","2024-11-18 09:30:00","coding","Best Practices",207,2
18,"Travel Stories","2024-11-18 10:00:00","travel","Adventure Time",208,3
19,"Fitness Challenges","2024-11-18 10:30:00","health","Stay Fit",209,4
20,"Reading Habits","2024-11-18 11:00:00","books","Books to Read",210,5
21,"Database Scaling","2024-11-19 14:00:00","education","Scalability Tips",201,6
22,"Holiday Recipes","2024-11-19 14:30:00","food","Festive Cooking",202,7
23,"Game Analysis","2024-11-19 15:00:00","sports","Match Review",203,8
24,"Movie Reviews","2024-11-19 15:30:00","entertainment","Cinema Highlights",204,9
25,"Tech Trends","2024-11-19 16:00:00","technology","What's New?",205,10
26,"Event Planning","2024-11-20 11:00:00","ideas","Organizing Events",206,11
27,"PostgreSQL Tips","2024-11-20 11:30:00","education","Database Tuning",207,12
28,"Healthy Meals","2024-11-20 12:00:00","health","Quick Recipes",208,13
29,"Travel Diaries","2024-11-20 12:30:00","travel","Exploration Notes",209,14
30,"Book Discussions","2024-11-20 13:00:00","books","What to Read",210,15
31,"Fitness Routines","2024-11-21 09:00:00","health","Daily Workouts",211,16
32,"Code Optimization","2024-11-21 09:30:00","coding","Efficiency Hacks",212,17
33,"Travel Hacks","2024-11-21 10:00:00","travel","Journey Tips",213,18
34,"Food Reviews","2024-11-21 10:30:00","food","Best Recipes",214,19
35,"Technology Updates","2024-11-21 11:00:00","technology","Latest Gadgets",215,20
36,"Sports Highlights","2024-11-21 11:30:00","sports","Game Insights",216,1
37,"Channel Q&A","2024-11-21 12:00:00","announcements","Ask the Admin",217,2
38,"Database Questions","2024-11-21 12:30:00","education","Query Help",218,3
39,"Workout Plans","2024-11-21 13:00:00","health","Stay Active",219,4
40,"New Tech Tools","2024-11-21 13:30:00","technology","Tool Spotlight",220,5
